Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 2,T2,XV,1,T2-XV-1,0.56129,0.00215,0.01652,0.04074,0.01661,0.01219,0.00186,0.00434,0.00327,0.00628,0,0.01908,0.03445
Run 2,T2,XV,2,T2-XV-2,0.6167,0.03973,0.01652,0.02241,0.01081,0.00644,0.00035,0.00972,0.00186,0.00192,0,0.02151,0.04235
Run 2,T2,XV,3,T2-XV-3,0.61407,0.00554,0.00262,0.02206,0.01415,0.00765,0.00061,0.00842,0.0025,0.0023,0.00432,0.02447,0.04076
Run 3,Ct,NI,1,Ct-NI-1,64.193614,33.855738,24.602786,22.267974,6.524404,27.047173,23.146706,18.08408,15.940284,2.43727,0.036873,0.030671,0.035797
Run 3,Ct,NI,2,Ct-NI-2,50.993158,26.619275,19.734604,17.268426,4.616941,27.585606,17.521597,14.225474,12.746982,1.81345,0.042033,0.032904,0.038139
Run 3,Ct,NI,3,Ct-NI-3,65.473866,33.400713,23.809971,21.075159,6.154879,4.85438,23.219108,17.876753,15.680033,2.632549,0.044645,0.036005,0.040226
Run 3,A,NI,1,A-NI-1,0.013178,0.008528,0.025754,0.007935,0.001056,0.377206,0.009744,0.010175,2.746139,0.001399,0.053382,0.057268,0.059392
Run 3,A,NI,2,A-NI-2,0.00979,0.004508,0.004308,0.007166,0.001515,0.131567,0.00501,0.003115,2.80534,0.001236,0.048181,0.046934,0.054267
Run 3,A,NI,3,A-NI-3,0.006522,0.006438,0.006515,0.009018,0.000691,4.355942,0.008719,0.00699,3.155171,0.000334,0.044084,0.047983,0.049245
Run 3,A,I,1,A-I-1,0.007236,0.00437,0.003548,0.004702,0.000831,0.023854,0.00329,0.004829,0.8437,0.000983,0.055231,0.061728,0.06987
Run 3,A,I,2,A-I-2,0.002923,0.006491,0.009816,0.015434,0.001174,0.077785,0.006653,0.005801,1.96869,0.000793,0.046964,0.03794,0.048067
Run 3,A,I,3,A-I-3,0.00686,0.004202,0.004081,0.004666,0.000691,0.091948,0.005361,0.004147,1.877934,0.001594,0.044143,0.041657,0.049337
Run 3,A,II,1,A-II-1,0.010246,0.00706,0.013604,0.005176,0.002201,0.063078,0.0119,0.006106,2.730176,0.001695,0.036152,0.022691,0.028083
Run 3,A,II,2,A-II-2,0.008219,0.008861,0.008695,0.00845,0.001357,0.049123,0.015872,0.002501,4.086869,0.001506,0.032946,0.022281,0.028137
Run 3,A,II,3,A-II-3,0.016686,0.012377,0.011042,0.009081,0.002197,0.115669,0.00773,0.004864,5.10488,0.000045,0.033636,0.020202,0.026637
Run 3,A,III,1,A-III-1,0.010853,0.004181,0.003691,0.002884,0.000924,0.053098,0.003969,0.007856,1.533668,0.000172,0.048829,0.048867,0.054996
Run 3,A,III,2,A-III-2,0.009927,0.00351,0.005294,0.005632,0.000768,0.24309,0.006824,0.006932,2.052097,0.000633,0.043062,0.04306,0.048784
Run 3,A,III,3,A-III-3,0.005089,0.005642,0.00591,0.007113,0.001532,0.10735,0.003994,0.004548,1.917017,0.000314,0.038388,0.039167,0.04419
