Run,BSH_Enzyme,BSH_IP_Conc,Inhibitor,Inhibitor_IP_Conc,Replicate,Sample_ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY, Protein_Hydrophilicity,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y,TUDCA_complexity,TUDCA_h_bond_acceptor,TUDCA_h_bond_donor,TUDCA_rotatable_bonds,TUDCA_molecular_weight,TUDCA_polar_surface_area,TCDCA_complexity,TCDCA_h_bond_acceptor,TCDCA_h_bond_donor,TCDCA_rotatable_bonds,TCDCA_molecular_weight,TCDCA_polar_surface_area,TDCA_complexity,TDCA_h_bond_acceptor,TDCA_h_bond_donor,TDCA_rotatable_bonds,TDCA_molecular_weight,TDCA_polar_surface_area,TCA_complexity,TCA_h_bond_acceptor,TCA_h_bond_donor,TCA_rotatable_bonds,TCA_molecular_weight,TCA_polar_surface_area,TLCA_complexity,TLCA_h_bond_acceptor,TLCA_h_bond_donor,TLCA_rotatable_bonds,TLCA_molecular_weight,TLCA_polar_surface_area,GUDCA_complexity,GUDCA_h_bond_acceptor,GUDCA_h_bond_donor,GUDCA_rotatable_bonds,GUDCA_molecular_weight,GUDCA_polar_surface_area,GCDCA_complexity,GCDCA_h_bond_acceptor,GCDCA_h_bond_donor,GCDCA_rotatable_bonds,GCDCA_molecular_weight,GCDCA_polar_surface_area,GDCA_complexity,GDCA_h_bond_acceptor,GDCA_h_bond_donor,GDCA_rotatable_bonds,GDCA_molecular_weight,GDCA_polar_surface_area,GCA_complexity,GCA_h_bond_acceptor,GCA_h_bond_donor,GCA_rotatable_bonds,GCA_molecular_weight,GCA_polar_surface_area,GLCA_complexity,GLCA_h_bond_acceptor,GLCA_h_bond_donor,GLCA_rotatable_bonds,GLCA_molecular_weight,GLCA_polar_surface_area
Run 4,Ct,0.2,NI,100.0,SD,Ct-NI-2,1.64153,0.70926,0.5582,0.5875,0.52203,5.2352,0.75722,0.61259,0.28571,0.40381,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 4,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,3.13249,3.20503,3.39794,4.59525,14.1803,11.09651,5.81853,5.69006,3.47615,36.39751,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 5,Ct,0.2,NI,100.0,Average,Ct-NI-1,85.51052,15.90159,11.38682,9.4073,3.80092,5.31707,10.65803,7.70585,4.10992,1.93059,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 5,Ct,0.2,NI,100.0,SD,Ct-NI-2,6.20982,0.59027,0.41015,0.12679,0.34812,2.69553,0.83383,0.30847,0.12642,0.21955,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 5,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,7.26205,3.71205,3.60197,1.34778,9.1588,50.69591,7.82347,4.00301,3.07593,11.37206,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 6,Ct,0.2,NI,100.0,Average,Ct-NI-1,146.55459,31.8868,20.42843,17.37685,9.61088,48.10383,24.17151,16.41312,8.65817,5.57409,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 6,Ct,0.2,NI,100.0,SD,Ct-NI-2,6.34189,1.44235,0.71021,0.53855,0.35249,20.28921,1.18471,0.60687,0.31918,0.22323,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 6,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,4.32732,4.52336,3.4766,3.09926,3.66764,42.17795,4.90128,3.69746,3.68641,4.00476,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 1,JL885,0.2,NI,100.0,Average,JL885-NI-1,0.11783,0.02745,0.02846,0.04416,0.0058,0.01049,0.01993,0.00267,0.17429,0.00368,0.0,0.0,0.0,0.0,0,0.0,36615.662,0.114,31.159,4.914,-0.386,0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 1,JL885,0.2,NI,100.0,SD,JL885-NI-2,0.02852,0.00699,0.01437,0.02984,0.00533,0.00625,0.00558,0.00153,0.13493,0.00074,0.0,0.0,0.0,0.0,0,0.0,36615.662,0.114,31.159,4.914,-0.386,0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
